Date,Period,rate,rate_vs
2025-04-01,7y,51.1931,52.157
2025-05-01,7y,44.0557,50.7012
2025-06-01,7y,60.2801,58.2967
2025-07-01,7y,66.8426,65.5655
2025-08-01,7y,60.3139,65.745
2025-09-01,7y,68.0129,71.1075
2025-10-01,7y,55.606,76.8359
2025-11-01,7y,45.1887,79.404
2025-12-01,7y,44.8549,77.9523
2026-01-01,7y,49.2814,77.9208
2026-02-01,7y,31.1678,79.5098
2026-03-01,7y,25.7664,77.0959
2026-04-01,7y,3.9936,68.1104
2026-05-01,7y,7.611,84.0286
2026-06-01,7y,54.0905,92.6374
2026-06-18,7y,33.6633,89.0056
2016-01-04,max,0.0,0.0
2016-02-01,max,-5.325,-3.7423
2016-03-01,max,0.6372,0.3764
2016-04-01,max,50.537,5.1946
2016-05-01,max,24.6564,3.5695
2016-06-01,max,24.4502,4.8356
2016-07-01,max,42.7823,4.3651
2016-08-01,max,37.257,7.2005
2016-09-01,max,56.2982,6.5176
2016-10-01,max,55.9332,5.8316
2016-11-01,max,51.0486,2.6321
2016-12-01,max,38.359,6.5262
2017-01-01,max,35.8932,8.6002
2017-02-01,max,51.8477,9.8701
2017-03-01,max,58.5475,14.9815
2017-04-01,max,63.0895,12.5254
2017-05-01,max,66.6096,13.1716
2017-06-01,max,53.6699,14.581
2017-07-01,max,40.6753,14.626
2017-08-01,max,52.9457,16.4591
2017-09-01,max,44.246,15.9061
2017-10-01,max,56.176,17.2911
2017-11-01,max,50.5746,19.4181
2017-12-01,max,35.3382,21.7575
2018-01-01,max,29.0322,22.6249
2018-02-01,max,24.6771,28.3844
2018-03-01,max,20.2195,21.0506
2018-04-01,max,16.4924,18.8566
2018-05-01,max,24.0598,18.843
2018-06-01,max,-6.3886,22.0592
2018-07-01,max,-7.4957,20.962
2018-08-01,max,-8.2455,24.4135
2018-09-01,max,-8.1937,27.7869
2018-10-01,max,-5.0728,28.1445
2018-11-01,max,-14.347,19.3954
2018-12-01,max,2.6242,19.8359
2019-01-01,max,-12.3406,8.7501
2019-02-01,max,6.659,17.203
2019-03-01,max,6.1093,21.2677
2019-04-01,max,9.0525,23.6016
2019-05-01,max,11.9208,25.5902
2019-06-01,max,-12.336,17.8911
2019-07-01,max,4.6494,26.7327
2019-08-01,max,2.0738,25.8061
2019-09-01,max,11.1895,24.2046
2019-10-01,max,12.1782,24.595
2019-11-01,max,11.4353,29.5299
2019-12-01,max,20.048,32.3145
2020-01-01,max,22.6051,35.5516
2020-02-01,max,36.0215,34.7733
2020-03-01,max,49.5098,23.2161
2020-04-01,max,46.3727,2.6957
2020-05-01,max,61.764,17.923
2020-06-01,max,67.1407,27.1545
2020-07-01,max,52.0263,29.2791
2020-08-01,max,63.9158,35.3897
2020-09-01,max,83.603,45.4969
2020-10-01,max,58.3521,38.8421
2020-11-01,max,56.2807,33.8054
2020-12-01,max,40.4873,49.4413
2021-01-01,max,59.3643,52.4925
2021-02-01,max,63.4201,52.5474
2021-03-01,max,51.7535,57.1165
2021-04-01,max,64.439,62.2404
2021-05-01,max,64.8803,68.0147
2021-06-01,max,111.5053,67.9506
2021-07-01,max,105.4886,71.7835
2021-08-01,max,86.1379,73.9065
2021-09-01,max,102.0383,78.108
2021-10-01,max,91.6334,70.559
2021-11-01,max,88.7592,79.7147
2021-12-01,max,78.9644,74.8714
2022-01-01,max,93.9922,83.8439
2022-02-01,max,92.8517,74.2485
2022-03-01,max,116.3556,64.4857
2022-04-01,max,100.5091,72.8765
2022-05-01,max,85.1373,56.3809
2022-06-01,max,79.0327,54.7432
2022-07-01,max,63.7314,43.9638
2022-08-01,max,81.1306,54.5402
2022-09-01,max,66.9175,48.4061
2022-10-01,max,48.14,33.808
2022-11-01,max,68.2118,43.6413
2022-12-01,max,75.9551,51.6237
2023-01-01,max,57.8812,42.3283
2023-02-01,max,71.3565,52.4008
2023-03-01,max,40.9975,45.8599
2023-04-01,max,25.659,52.4428
2023-05-01,max,29.0191,54.1535
2023-06-01,max,30.623,55.8684
2023-07-01,max,37.7023,63.7729
2023-08-01,max,42.9116,67.9151
2023-09-01,max,53.7673,65.3142
2023-10-01,max,32.3066,56.4671
2023-11-01,max,24.1248,54.158
2023-12-01,max,69.1944,66.8181
2024-01-01,max,72.0895,72.7134
2024-02-01,max,79.6047,77.0248
2024-03-01,max,64.1039,84.7703
2024-04-01,max,67.0485,89.0895
2024-05-01,max,48.7773,80.3005
2024-06-01,max,87.3551,89.1407
2024-07-01,max,86.9456,96.817
2024-08-01,max,88.7174,94.9948
2024-09-01,max,97.8744,101.4737
2024-10-01,max,102.3737,104.2286
2024-11-01,max,109.407,104.0979
2024-12-01,max,128.3226,114.1559
2025-01-01,max,101.5848,108.1307
2025-02-01,max,97.2075,112.719
2025-03-01,max,103.0348,109.0154
2025-04-01,max,97.7391,97.097
2025-05-01,max,88.4726,95.2965
2025-06-01,max,109.7202,105.2137
2025-07-01,max,118.4315,114.7559
2025-08-01,max,110.0325,115.142
2025-09-01,max,120.2308,122.2543
2025-10-01,max,104.1041,129.8729
2025-11-01,max,90.5016,133.4127
2025-12-01,max,90.0642,131.7276
2026-01-01,max,95.8672,131.8756
2026-02-01,max,72.1158,134.1294
2026-03-01,max,64.946,131.1612
2026-04-01,max,36.2951,119.5868
2026-05-01,max,40.7991,140.4983
2026-06-01,max,101.3164,151.9424
2026-06-18,max,74.653,147.4099
