Date,Period,rate,rate_vs
2025-04-01,7y,28.1579,52.157
2025-05-01,7y,28.1362,50.7012
2025-06-01,7y,30.2165,58.2967
2025-07-01,7y,30.6342,65.5655
2025-08-01,7y,20.5269,65.745
2025-09-01,7y,23.9466,71.1075
2025-10-01,7y,22.9156,76.8359
2025-11-01,7y,16.021,79.404
2025-12-01,7y,14.4267,77.9523
2026-01-01,7y,14.1562,77.9208
2026-02-01,7y,20.7599,79.5098
2026-03-01,7y,31.9089,77.0959
2026-04-01,7y,15.3738,68.1104
2026-05-01,7y,23.4728,84.0286
2026-06-01,7y,21.7175,92.6374
2026-06-18,7y,25.7975,89.0056
2016-01-04,max,0.0,0.0
2016-02-01,max,1.7998,-3.7423
2016-03-01,max,-5.0665,0.3764
2016-04-01,max,9.2474,5.1946
2016-05-01,max,-2.8775,3.5695
2016-06-01,max,6.9342,4.8356
2016-07-01,max,3.9764,4.3651
2016-08-01,max,-1.2603,7.2005
2016-09-01,max,-7.4661,6.5176
2016-10-01,max,-7.5926,5.8316
2016-11-01,max,-16.4049,2.6321
2016-12-01,max,-17.3701,6.5262
2017-01-01,max,-5.2295,8.6002
2017-02-01,max,-11.7353,9.8701
2017-03-01,max,-0.7311,14.9815
2017-04-01,max,-6.4745,12.5254
2017-05-01,max,-4.7639,13.1716
2017-06-01,max,-4.059,14.581
2017-07-01,max,-0.019,14.626
2017-08-01,max,1.6292,16.4591
2017-09-01,max,-0.391,15.9061
2017-10-01,max,3.3629,17.2911
2017-11-01,max,5.374,19.4181
2017-12-01,max,9.7743,21.7575
2018-01-01,max,13.2522,22.6249
2018-02-01,max,5.7698,28.3844
2018-03-01,max,10.4316,21.0506
2018-04-01,max,12.9637,18.8566
2018-05-01,max,16.4237,18.843
2018-06-01,max,23.7988,22.0592
2018-07-01,max,28.1713,20.962
2018-08-01,max,18.1037,24.4135
2018-09-01,max,17.0019,27.7869
2018-10-01,max,9.3969,28.1445
2018-11-01,max,15.0216,19.3954
2018-12-01,max,21.6896,19.8359
2019-01-01,max,15.2307,8.7501
2019-02-01,max,23.8757,17.203
2019-03-01,max,20.6692,21.2677
2019-04-01,max,28.2564,23.6016
2019-05-01,max,33.6099,25.5902
2019-06-01,max,34.2535,17.8911
2019-07-01,max,32.7507,26.7327
2019-08-01,max,42.5235,25.8061
2019-09-01,max,51.1902,24.2046
2019-10-01,max,45.6814,24.595
2019-11-01,max,39.1167,29.5299
2019-12-01,max,31.8543,32.3145
2020-01-01,max,33.9967,35.5516
2020-02-01,max,39.6836,34.7733
2020-03-01,max,25.9377,23.2161
2020-04-01,max,20.853,2.6957
2020-05-01,max,11.6824,17.923
2020-06-01,max,26.3708,27.1545
2020-07-01,max,26.9507,29.2791
2020-08-01,max,34.7763,35.3897
2020-09-01,max,38.7101,45.4969
2020-10-01,max,42.2792,38.8421
2020-11-01,max,50.2419,33.8054
2020-12-01,max,46.4382,49.4413
2021-01-01,max,49.6354,52.4925
2021-02-01,max,49.7952,52.5474
2021-03-01,max,58.1506,57.1165
2021-04-01,max,75.8457,62.2404
2021-05-01,max,91.7275,68.0147
2021-06-01,max,94.5642,67.9506
2021-07-01,max,110.79,71.7835
2021-08-01,max,120.8388,73.9065
2021-09-01,max,138.7347,78.108
2021-10-01,max,112.287,70.559
2021-11-01,max,145.7725,79.7147
2021-12-01,max,146.7601,74.8714
2022-01-01,max,179.5998,83.8439
2022-02-01,max,141.4816,74.2485
2022-03-01,max,132.0742,64.4857
2022-04-01,max,154.0074,72.8765
2022-05-01,max,128.4478,56.3809
2022-06-01,max,113.2313,54.7432
2022-07-01,max,108.4947,43.9638
2022-08-01,max,124.495,54.5402
2022-09-01,max,137.009,48.4061
2022-10-01,max,104.0134,33.808
2022-11-01,max,108.8227,43.6413
2022-12-01,max,86.6999,51.6237
2023-01-01,max,72.4767,42.3283
2023-02-01,max,84.751,52.4008
2023-03-01,max,89.8187,45.8599
2023-04-01,max,89.8118,52.4428
2023-05-01,max,76.587,54.1535
2023-06-01,max,65.3018,55.8684
2023-07-01,max,72.7373,63.7729
2023-08-01,max,60.0607,67.9151
2023-09-01,max,49.2893,65.3142
2023-10-01,max,41.0911,56.4671
2023-11-01,max,19.5393,54.158
2023-12-01,max,55.1797,66.8181
2024-01-01,max,86.337,72.7134
2024-02-01,max,68.9503,77.0248
2024-03-01,max,65.1243,84.7703
2024-04-01,max,70.2016,89.0895
2024-05-01,max,60.2099,80.3005
2024-06-01,max,66.598,89.1407
2024-07-01,max,79.7106,96.817
2024-08-01,max,88.282,94.9948
2024-09-01,max,107.5284,101.4737
2024-10-01,max,109.8867,104.2286
2024-11-01,max,88.7568,104.0979
2024-12-01,max,99.3911,114.1559
2025-01-01,max,75.5534,108.1307
2025-02-01,max,80.0004,112.719
2025-03-01,max,77.5959,109.0154
2025-04-01,max,77.0582,97.097
2025-05-01,max,76.8887,95.2965
2025-06-01,max,79.6179,105.2137
2025-07-01,max,80.0668,114.7559
2025-08-01,max,66.0195,115.142
2025-09-01,max,70.533,122.2543
2025-10-01,max,68.9469,129.8729
2025-11-01,max,59.3055,133.4127
2025-12-01,max,56.9035,131.7276
2026-01-01,max,56.3099,131.8756
2026-02-01,max,65.1167,134.1294
2026-03-01,max,80.1612,131.1612
2026-04-01,max,57.4727,119.5868
2026-05-01,max,68.302,140.4983
2026-06-01,max,65.7468,151.9424
2026-06-18,max,71.1234,147.4099
