Date,Period,rate,rate_vs
2025-05-01,7y,57.2812,50.7012
2025-06-01,7y,67.6749,58.2967
2025-07-01,7y,74.2218,65.5655
2025-08-01,7y,52.2608,65.745
2025-09-01,7y,60.5982,71.1075
2025-10-01,7y,67.9876,76.8359
2025-11-01,7y,52.7545,79.404
2025-12-01,7y,57.8149,77.9523
2026-01-01,7y,57.1413,77.9208
2026-02-01,7y,69.9911,79.5098
2026-03-01,7y,84.9401,77.0959
2026-04-01,7y,56.3196,68.1104
2026-05-01,7y,51.7293,84.0286
2026-06-01,7y,37.4911,92.6374
2026-06-18,7y,50.4718,89.0056
2017-05-12,max,0.0,0.0
2017-06-01,max,8.5644,1.7168
2017-07-01,max,-1.768,1.5711
2017-08-01,max,2.8566,3.3286
2017-09-01,max,7.5637,2.715
2017-10-01,max,23.1212,4.057
2017-11-01,max,25.4042,5.9528
2017-12-01,max,34.9719,7.9137
2018-01-01,max,38.1187,8.4851
2018-02-01,max,38.2517,13.4226
2018-03-01,max,18.4968,6.5779
2018-04-01,max,16.0121,4.7279
2018-05-01,max,16.4635,4.9112
2018-06-01,max,19.5515,7.9478
2018-07-01,max,7.3706,7.0557
2018-08-01,max,0.618,10.2388
2018-09-01,max,1.6272,13.2616
2018-10-01,max,1.7072,13.5413
2018-11-01,max,-6.41,5.7687
2018-12-01,max,-9.9003,6.3451
2019-01-01,max,-25.1491,-3.3384
2019-02-01,max,-7.8179,4.5711
2019-03-01,max,2.0512,8.3991
2019-04-01,max,6.2463,10.6085
2019-05-01,max,31.1862,12.4738
2019-06-01,max,27.5321,5.6338
2019-07-01,max,31.6442,13.7322
2019-08-01,max,16.9068,12.9483
2019-09-01,max,6.8717,11.5726
2019-10-01,max,2.5787,12.0065
2019-11-01,max,24.4167,16.5254
2019-12-01,max,27.4645,19.062
2020-01-01,max,39.0877,21.9841
2020-02-01,max,32.7478,21.2692
2020-03-01,max,22.3767,10.8692
2020-04-01,max,-11.6784,-7.513
2020-05-01,max,4.8143,6.4928
2020-06-01,max,7.026,14.9689
2020-07-01,max,4.1638,16.9509
2020-08-01,max,17.2282,22.5272
2020-09-01,max,33.8762,31.6827
2020-10-01,max,30.6959,25.6106
2020-11-01,max,27.6608,21.0493
2020-12-01,max,62.8587,35.2261
2021-01-01,max,64.1663,37.9299
2021-02-01,max,52.1652,37.9138
2021-03-01,max,68.2591,41.9839
2021-04-01,max,74.3611,46.5367
2021-05-01,max,72.1131,51.6565
2021-06-01,max,72.7806,51.4875
2021-07-01,max,66.4603,54.84
2021-08-01,max,66.0386,56.6414
2021-09-01,max,77.8145,60.3114
2021-10-01,max,70.0918,53.4014
2021-11-01,max,80.8035,61.5482
2021-12-01,max,87.9881,57.0865
2022-01-01,max,101.9877,65.0557
2022-02-01,max,83.8238,56.3354
2022-03-01,max,58.107,47.5082
2022-04-01,max,60.3745,54.9964
2022-05-01,max,39.418,40.1546
2022-06-01,max,49.2189,38.6844
2022-07-01,max,32.8743,29.028
2022-08-01,max,53.721,38.5476
2022-09-01,max,50.6085,33.0564
2022-10-01,max,33.9721,19.9925
2022-11-01,max,55.1741,28.8819
2022-12-01,max,66.6541,36.0869
2023-01-01,max,59.447,27.7632
2023-02-01,max,68.9337,36.8525
2023-03-01,max,75.1893,30.9985
2023-04-01,max,74.5488,36.9489
2023-05-01,max,70.3508,38.5078
2023-06-01,max,72.4994,40.0679
2023-07-01,max,92.7848,47.188
2023-08-01,max,93.4512,50.911
2023-09-01,max,103.7517,48.5668
2023-10-01,max,84.3762,40.616
2023-11-01,max,78.3168,38.5595
2023-12-01,max,106.8162,49.9646
2024-01-01,max,119.986,55.2652
2024-02-01,max,131.6408,59.1321
2024-03-01,max,157.0806,66.0791
2024-04-01,max,160.7846,69.9338
2024-05-01,max,157.1549,62.0044
2024-06-01,max,155.497,69.9313
2024-07-01,max,144.1182,76.7984
2024-08-01,max,147.0368,75.1231
2024-09-01,max,146.0102,80.9069
2024-10-01,max,161.8711,83.3382
2024-11-01,max,149.3767,83.1771
2024-12-01,max,174.6771,92.1608
2025-01-01,max,136.8766,86.702
2025-02-01,max,144.0954,90.7742
2025-03-01,max,119.2362,87.4063
2025-04-01,max,107.3099,76.6825
2025-05-01,max,94.9363,75.0466
2025-06-01,max,107.8269,83.9166
2025-07-01,max,115.9933,92.4376
2025-08-01,max,88.8306,92.7435
2025-09-01,max,99.1456,99.0755
2025-10-01,max,108.3168,105.8526
2025-11-01,max,89.4574,108.969
2025-12-01,max,95.7035,107.4061
2026-01-01,max,94.856,107.4879
2026-02-01,max,110.7713,109.4552
2026-03-01,max,129.3361,106.751
2026-04-01,max,93.9099,96.3567
2026-05-01,max,88.1892,115.0229
2026-06-01,max,70.4889,125.2016
2026-06-18,max,86.4825,121.0905
