Date,Period,rate,rate_vs
2025-04-01,7y,9.1288,52.157
2025-05-01,7y,4.1685,50.7012
2025-06-01,7y,-3.9184,58.2967
2025-07-01,7y,3.3652,65.5655
2025-08-01,7y,0.1349,65.745
2025-09-01,7y,6.2314,71.1075
2025-10-01,7y,14.754,76.8359
2025-11-01,7y,9.2852,79.404
2025-12-01,7y,29.2889,77.9523
2026-01-01,7y,34.3353,77.9208
2026-02-01,7y,40.2772,79.5098
2026-03-01,7y,56.9547,77.0959
2026-04-01,7y,52.4982,68.1104
2026-05-01,7y,40.956,84.0286
2026-06-01,7y,44.2369,92.6374
2026-06-18,7y,42.0931,89.0056
2016-01-04,max,0.0,0.0
2016-02-01,max,-3.3931,-3.7423
2016-03-01,max,0.1895,0.3764
2016-04-01,max,6.5338,5.1946
2016-05-01,max,7.0998,3.5695
2016-06-01,max,8.5306,4.8356
2016-07-01,max,11.0276,4.3651
2016-08-01,max,10.7971,7.2005
2016-09-01,max,17.3451,6.5176
2016-10-01,max,15.3517,5.8316
2016-11-01,max,8.1346,2.6321
2016-12-01,max,10.0299,6.5262
2017-01-01,max,6.634,8.6002
2017-02-01,max,11.9375,9.8701
2017-03-01,max,18.4292,14.9815
2017-04-01,max,13.2998,12.5254
2017-05-01,max,10.4084,13.1716
2017-06-01,max,14.8592,14.581
2017-07-01,max,12.805,14.626
2017-08-01,max,11.8276,16.4591
2017-09-01,max,11.0746,15.9061
2017-10-01,max,11.7028,17.2911
2017-11-01,max,-3.9216,19.4181
2017-12-01,max,-2.8337,21.7575
2018-01-01,max,-1.1875,22.6249
2018-02-01,max,5.1621,28.3844
2018-03-01,max,-5.8413,21.0506
2018-04-01,max,-3.432,18.8566
2018-05-01,max,2.9166,18.843
2018-06-01,max,7.3875,22.0592
2018-07-01,max,8.2348,20.962
2018-08-01,max,16.485,24.4135
2018-09-01,max,21.456,27.7869
2018-10-01,max,28.517,28.1445
2018-11-01,max,30.5108,19.3954
2018-12-01,max,40.6638,19.8359
2019-01-01,max,37.2804,8.7501
2019-02-01,max,36.3387,17.203
2019-03-01,max,44.588,21.2677
2019-04-01,max,47.3072,23.6016
2019-05-01,max,38.087,25.5902
2019-06-01,max,38.0094,17.8911
2019-07-01,max,49.5469,26.7327
2019-08-01,max,46.5336,25.8061
2019-09-01,max,50.3061,24.2046
2019-10-01,max,47.0983,24.595
2019-11-01,max,48.3931,29.5299
2019-12-01,max,51.2474,32.3145
2020-01-01,max,59.8244,35.5516
2020-02-01,max,48.99,34.7733
2020-03-01,max,32.6253,23.2161
2020-04-01,max,30.3804,2.6957
2020-05-01,max,36.5973,17.923
2020-06-01,max,39.212,27.1545
2020-07-01,max,39.1628,29.2791
2020-08-01,max,42.2029,35.3897
2020-09-01,max,48.8337,45.4969
2020-10-01,max,44.1544,38.8421
2020-11-01,max,32.0969,33.8054
2020-12-01,max,42.6406,49.4413
2021-01-01,max,43.4946,52.4925
2021-02-01,max,35.029,52.5474
2021-03-01,max,25.8064,57.1165
2021-04-01,max,36.9334,62.2404
2021-05-01,max,31.7704,68.0147
2021-06-01,max,32.4784,67.9506
2021-07-01,max,44.6859,71.7835
2021-08-01,max,41.9481,73.9065
2021-09-01,max,40.0611,78.108
2021-10-01,max,50.2266,70.559
2021-11-01,max,61.3347,79.7147
2021-12-01,max,35.9898,74.8714
2022-01-01,max,40.7487,83.8439
2022-02-01,max,49.8459,74.2485
2022-03-01,max,39.0101,64.4857
2022-04-01,max,52.7657,72.8765
2022-05-01,max,61.4821,56.3809
2022-06-01,max,65.1211,54.7432
2022-07-01,max,67.8359,43.9638
2022-08-01,max,59.9467,54.5402
2022-09-01,max,56.7146,48.4061
2022-10-01,max,55.4045,33.808
2022-11-01,max,79.2326,43.6413
2022-12-01,max,96.2188,51.6237
2023-01-01,max,98.4122,42.3283
2023-02-01,max,90.1939,52.4008
2023-03-01,max,88.5605,45.8599
2023-04-01,max,88.3679,52.4428
2023-05-01,max,104.8841,54.1535
2023-06-01,max,94.2319,55.8684
2023-07-01,max,102.2221,63.7729
2023-08-01,max,83.4772,67.9151
2023-09-01,max,90.4763,65.3142
2023-10-01,max,78.8748,56.4671
2023-11-01,max,77.8605,54.158
2023-12-01,max,78.0899,66.8181
2024-01-01,max,88.1216,72.7134
2024-02-01,max,117.0217,77.0248
2024-03-01,max,116.8171,84.7703
2024-04-01,max,123.7887,89.0895
2024-05-01,max,118.8278,80.3005
2024-06-01,max,112.1414,89.1407
2024-07-01,max,116.3027,96.817
2024-08-01,max,91.484,94.9948
2024-09-01,max,98.3568,101.4737
2024-10-01,max,92.519,104.2286
2024-11-01,max,70.1646,104.0979
2024-12-01,max,69.1087,114.1559
2025-01-01,max,66.2302,108.1307
2025-02-01,max,64.5215,112.719
2025-03-01,max,53.035,109.0154
2025-04-01,max,45.4122,97.097
2025-05-01,max,38.5799,95.2965
2025-06-01,max,27.5783,105.2137
2025-07-01,max,36.9139,114.7559
2025-08-01,max,32.3833,115.142
2025-09-01,max,40.1504,122.2543
2025-10-01,max,51.1412,129.8729
2025-11-01,max,43.7664,133.4127
2025-12-01,max,69.8325,131.7276
2026-01-01,max,76.3634,131.8756
2026-02-01,max,84.0942,134.1294
2026-03-01,max,105.9408,131.1612
2026-04-01,max,100.143,119.5868
2026-05-01,max,85.0163,140.4983
2026-06-01,max,89.2823,151.9424
2026-06-18,max,86.4444,147.4099
