Date,Period,rate,rate_vs
2025-05-01,7y,44.1912,50.7012
2025-06-01,7y,43.6722,58.2967
2025-07-01,7y,36.4216,65.5655
2025-08-01,7y,38.3946,65.745
2025-09-01,7y,42.7294,71.1075
2025-10-01,7y,37.0648,76.8359
2025-11-01,7y,35.6315,79.404
2025-12-01,7y,38.3441,77.9523
2026-01-01,7y,38.7921,77.9208
2026-02-01,7y,42.5461,79.5098
2026-03-01,7y,53.7689,77.0959
2026-04-01,7y,37.9516,68.1104
2026-05-01,7y,28.2536,84.0286
2026-06-01,7y,23.2169,92.6374
2026-06-18,7y,24.884,89.0056
2016-01-04,max,0.0,0.0
2016-02-01,max,5.873,-3.7423
2016-03-01,max,0.3352,0.3764
2016-04-01,max,7.0759,5.1946
2016-05-01,max,4.8427,3.5695
2016-06-01,max,0.143,4.8356
2016-07-01,max,-0.4555,4.3651
2016-08-01,max,-2.3824,7.2005
2016-09-01,max,-3.524,6.5176
2016-10-01,max,-3.1778,5.8316
2016-11-01,max,-5.4885,2.6321
2016-12-01,max,1.0611,6.5262
2017-01-01,max,3.7334,8.6002
2017-02-01,max,4.0334,9.8701
2017-03-01,max,10.1529,14.9815
2017-04-01,max,9.9437,12.5254
2017-05-01,max,19.0491,13.1716
2017-06-01,max,28.0983,14.581
2017-07-01,max,27.1704,14.626
2017-08-01,max,26.4575,16.4591
2017-09-01,max,30.5803,15.9061
2017-10-01,max,26.5897,17.2911
2017-11-01,max,33.1306,19.4181
2017-12-01,max,37.6301,21.7575
2018-01-01,max,35.467,22.6249
2018-02-01,max,33.873,28.3844
2018-03-01,max,20.8521,21.0506
2018-04-01,max,20.5997,18.8566
2018-05-01,max,25.2717,18.843
2018-06-01,max,21.908,22.0592
2018-07-01,max,20.8311,20.962
2018-08-01,max,20.3307,24.4135
2018-09-01,max,25.2833,27.7869
2018-10-01,max,29.4707,28.1445
2018-11-01,max,34.9342,19.3954
2018-12-01,max,46.1486,19.8359
2019-01-01,max,37.3467,8.7501
2019-02-01,max,35.6812,17.203
2019-03-01,max,41.9752,21.2677
2019-04-01,max,43.4385,23.6016
2019-05-01,max,46.7175,25.5902
2019-06-01,max,50.3889,17.8911
2019-07-01,max,56.1,26.7327
2019-08-01,max,58.5062,25.8061
2019-09-01,max,64.7633,24.2046
2019-10-01,max,57.4825,24.595
2019-11-01,max,44.9585,29.5299
2019-12-01,max,47.1851,32.3145
2020-01-01,max,48.5502,35.5516
2020-02-01,max,59.7735,34.7733
2020-03-01,max,46.6812,23.2161
2020-04-01,max,18.7364,2.6957
2020-05-01,max,36.7024,17.923
2020-06-01,max,42.3371,27.1545
2020-07-01,max,39.4715,29.2791
2020-08-01,max,45.9804,35.3897
2020-09-01,max,59.8466,45.4969
2020-10-01,max,63.9455,38.8421
2020-11-01,max,57.9543,33.8054
2020-12-01,max,60.2351,49.4413
2021-01-01,max,58.0793,52.4925
2021-02-01,max,52.2561,52.5474
2021-03-01,max,54.4628,57.1165
2021-04-01,max,66.1027,62.2404
2021-05-01,max,73.0355,68.0147
2021-06-01,max,73.5997,67.9506
2021-07-01,max,71.762,71.7835
2021-08-01,max,78.3616,73.9065
2021-09-01,max,74.8202,78.108
2021-10-01,max,77.2206,70.559
2021-11-01,max,81.662,79.7147
2021-12-01,max,76.8941,74.8714
2022-01-01,max,93.026,83.8439
2022-02-01,max,85.2554,74.2485
2022-03-01,max,71.3209,64.4857
2022-04-01,max,77.2071,72.8765
2022-05-01,max,76.1263,56.3809
2022-06-01,max,75.2207,54.7432
2022-07-01,max,79.7215,43.9638
2022-08-01,max,86.6702,54.5402
2022-09-01,max,81.1044,48.4061
2022-10-01,max,62.0326,33.808
2022-11-01,max,90.7774,43.6413
2022-12-01,max,91.0515,51.6237
2023-01-01,max,83.1074,42.3283
2023-02-01,max,84.0221,52.4008
2023-03-01,max,81.6485,45.8599
2023-04-01,max,92.3253,52.4428
2023-05-01,max,103.5679,54.1535
2023-06-01,max,95.7987,55.8684
2023-07-01,max,104.9478,63.7729
2023-08-01,max,98.7777,67.9151
2023-09-01,max,91.8548,65.3142
2023-10-01,max,78.9759,56.4671
2023-11-01,max,77.1406,54.158
2023-12-01,max,93.5989,66.8181
2024-01-01,max,99.7282,72.7134
2024-02-01,max,99.7511,77.0248
2024-03-01,max,94.9454,84.7703
2024-04-01,max,86.9716,89.0895
2024-05-01,max,82.2556,80.3005
2024-06-01,max,71.1659,89.1407
2024-07-01,max,65.7066,96.817
2024-08-01,max,77.4537,94.9948
2024-09-01,max,89.7992,101.4737
2024-10-01,max,99.4093,104.2286
2024-11-01,max,93.3796,104.0979
2024-12-01,max,93.0277,114.1559
2025-01-01,max,89.3414,108.1307
2025-02-01,max,87.7458,112.719
2025-03-01,max,99.6586,109.0154
2025-04-01,max,103.3175,97.097
2025-05-01,max,102.3994,95.2965
2025-06-01,max,101.6272,105.2137
2025-07-01,max,91.4033,114.7559
2025-08-01,max,94.0664,115.142
2025-09-01,max,100.0497,122.2543
2025-10-01,max,92.0465,129.8729
2025-11-01,max,89.9343,133.4127
2025-12-01,max,93.6151,131.7276
2026-01-01,max,94.1415,131.8756
2026-02-01,max,99.2908,134.1294
2026-03-01,max,114.896,131.1612
2026-04-01,max,92.7758,119.5868
2026-05-01,max,79.1225,140.4983
2026-06-01,max,71.9318,151.9424
2026-06-18,max,74.066,147.4099
