Date,Period,rate,rate_vs
2022-04-01,7y,50.6146,36.3913
2022-05-01,7y,32.0104,23.1927
2022-06-01,7y,23.847,21.8832
2022-07-01,7y,19.8283,13.3968
2022-08-01,7y,25.1484,21.8463
2022-09-01,7y,20.8343,17.0253
2022-10-01,7y,12.0675,5.581
2022-11-01,7y,5.1858,13.5522
2022-12-01,7y,7.394,19.9825
2023-01-01,7y,0.9697,12.6746
2023-02-01,7y,10.5678,20.7811
2023-03-01,7y,5.0687,15.6442
2023-04-01,7y,6.77,20.9657
2023-05-01,7y,13.1336,22.3765
2023-06-01,7y,9.2393,23.7818
2023-07-01,7y,20.2985,30.0956
2023-08-01,7y,19.4921,33.3735
2023-09-01,7y,15.9762,31.2753
2023-10-01,7y,7.3203,24.2385
2023-11-01,7y,-2.8912,22.4478
2023-12-01,7y,6.9301,32.5668
2024-01-01,7y,16.4279,37.242
2024-02-01,7y,15.7633,40.6304
2024-03-01,7y,15.0821,46.7273
2024-04-01,7y,20.0039,50.0678
2024-05-01,7y,24.72,42.9956
2024-06-01,7y,26.248,49.9511
2024-07-01,7y,33.1604,55.9445
2024-08-01,7y,37.5726,54.3846
2024-09-01,7y,45.1633,59.4087
2024-10-01,7y,43.8607,61.4633
2024-11-01,7y,33.9859,61.2322
2024-12-01,7y,48.0539,69.0518
2025-01-01,7y,37.9466,64.1463
2025-02-01,7y,36.5394,67.64
2025-03-01,7y,42.8471,64.5903
2025-04-01,7y,38.0449,55.0989
2025-05-01,7y,36.2548,53.6193
2025-06-01,7y,34.8472,61.3651
2025-07-01,7y,30.1971,68.7818
2025-08-01,7y,21.0987,68.9749
2025-09-01,7y,27.3159,74.4517
2025-10-01,7y,24.4207,80.304
2025-11-01,7y,15.09,82.9366
2025-12-01,7y,18.7686,81.4705
2026-01-01,7y,21.6255,81.4512
2026-02-01,7y,23.98,83.0839
2026-03-01,7y,25.4558,80.634
2026-03-02,7y,24.9968,79.7297
2016-01-04,max,0.0,0.0
2016-02-01,max,-4.0634,-3.7423
2016-03-01,max,-2.222,0.3764
2016-04-01,max,8.6019,5.1946
2016-05-01,max,-3.6263,3.5695
2016-06-01,max,-5.3455,4.8356
2016-07-01,max,0.0397,4.3651
2016-08-01,max,-0.9086,7.2005
2016-09-01,max,-6.5391,6.5176
2016-10-01,max,-0.8173,5.8316
2016-11-01,max,-6.1654,2.6321
2016-12-01,max,-7.3521,6.5262
2017-01-01,max,1.3184,8.6002
2017-02-01,max,-5.8049,9.8701
2017-03-01,max,-0.4699,14.9815
2017-04-01,max,-0.9128,12.5254
2017-05-01,max,3.2959,13.1716
2017-06-01,max,3.2551,14.581
2017-07-01,max,5.2974,14.626
2017-08-01,max,8.219,16.4591
2017-09-01,max,6.4523,15.9061
2017-10-01,max,6.8565,17.2911
2017-11-01,max,9.5759,19.4181
2017-12-01,max,7.0948,21.7575
2018-01-01,max,5.6007,22.6249
2018-02-01,max,-0.3144,28.3844
2018-03-01,max,-6.9326,21.0506
2018-04-01,max,4.7867,18.8566
2018-05-01,max,5.6282,18.843
2018-06-01,max,8.1588,22.0592
2018-07-01,max,10.3849,20.962
2018-08-01,max,13.8798,24.4135
2018-09-01,max,16.6099,27.7869
2018-10-01,max,15.9493,28.1445
2018-11-01,max,13.3413,19.3954
2018-12-01,max,24.1624,19.8359
2019-01-01,max,16.2785,8.7501
2019-02-01,max,26.3803,17.203
2019-03-01,max,28.2662,21.2677
2019-04-01,max,33.0638,23.6016
2019-05-01,max,34.9477,25.5902
2019-06-01,max,34.1806,17.8911
2019-07-01,max,33.6047,26.7327
2019-08-01,max,38.8207,25.8061
2019-09-01,max,46.9147,24.2046
2019-10-01,max,51.229,24.595
2019-11-01,max,53.5421,29.5299
2019-12-01,max,47.1444,32.3145
2020-01-01,max,40.932,35.5516
2020-02-01,max,43.8322,34.7733
2020-03-01,max,29.2226,23.2161
2020-04-01,max,1.94,2.6957
2020-05-01,max,10.0389,17.923
2020-06-01,max,7.7145,27.1545
2020-07-01,max,10.2793,29.2791
2020-08-01,max,-2.9428,35.3897
2020-09-01,max,2.8117,45.4969
2020-10-01,max,-2.1928,38.8421
2020-11-01,max,-13.9853,33.8054
2020-12-01,max,8.2991,49.4413
2021-01-01,max,10.902,52.4925
2021-02-01,max,18.3698,52.5474
2021-03-01,max,26.7677,57.1165
2021-04-01,max,40.6675,62.2404
2021-05-01,max,43.3487,68.0147
2021-06-01,max,52.2717,67.9506
2021-07-01,max,52.6427,71.7835
2021-08-01,max,63.7441,73.9065
2021-09-01,max,65.5725,78.108
2021-10-01,max,60.3859,70.559
2021-11-01,max,66.5408,79.7147
2021-12-01,max,60.7784,74.8714
2022-01-01,max,77.4353,83.8439
2022-02-01,max,72.8688,74.2485
2022-03-01,max,63.1607,64.4857
2022-04-01,max,82.5123,72.8765
2022-05-01,max,60.4369,56.3809
2022-06-01,max,50.7181,54.7432
2022-07-01,max,45.9024,43.9638
2022-08-01,max,52.3901,54.5402
2022-09-01,max,47.2105,48.4061
2022-10-01,max,36.5384,33.808
2022-11-01,max,28.0506,43.6413
2022-12-01,max,30.5383,51.6237
2023-01-01,max,22.5725,42.3283
2023-02-01,max,33.9622,52.4008
2023-03-01,max,27.1788,45.8599
2023-04-01,max,29.0491,52.4428
2023-05-01,max,36.5653,54.1535
2023-06-01,max,31.7689,55.8684
2023-07-01,max,44.9573,63.7729
2023-08-01,max,43.9543,67.9151
2023-09-01,max,39.6779,65.3142
2023-10-01,max,29.1829,56.4671
2023-11-01,max,16.7534,54.158
2023-12-01,max,28.3015,66.8181
2024-01-01,max,39.5336,72.7134
2024-02-01,max,38.6644,77.0248
2024-03-01,max,37.7698,84.7703
2024-04-01,max,43.5736,89.0895
2024-05-01,max,49.165,80.3005
2024-06-01,max,50.9757,89.1407
2024-07-01,max,59.2332,96.817
2024-08-01,max,64.5464,94.9948
2024-09-01,max,73.6902,101.4737
2024-10-01,max,72.2366,104.2286
2024-11-01,max,60.4997,104.0979
2024-12-01,max,77.3798,114.1559
2025-01-01,max,65.3704,108.1307
2025-02-01,max,63.725,112.719
2025-03-01,max,71.3201,109.0154
2025-04-01,max,65.621,97.097
2025-05-01,max,63.5046,95.2965
2025-06-01,max,61.8342,105.2137
2025-07-01,max,56.2618,114.7559
2025-08-01,max,45.3252,115.142
2025-09-01,max,52.7173,122.2543
2025-10-01,max,49.2099,129.8729
2025-11-01,max,37.9736,133.4127
2025-12-01,max,42.2853,131.7276
2026-01-01,max,45.6283,131.8756
2026-02-01,max,48.3816,134.1294
2026-03-01,max,50.0928,131.1612
2026-03-02,max,49.4953,130.1524
