Date,Period,rate,rate_vs
2018-10-31,max,45.6324,-0.7299
2018-11-30,max,-22.949,0.9314
2018-12-31,max,-4.8511,-10.1272
2019-01-31,max,-2.8245,-1.8067
2019-02-28,max,60.4421,1.5158
2019-03-31,max,162.4047,3.2716
2019-04-30,max,221.9509,7.573
2019-05-31,max,359.1629,-1.0016
2019-06-30,max,337.0489,6.7728
2019-07-31,max,258.6921,7.9722
2019-08-31,max,166.794,5.3144
2019-09-30,max,93.5841,7.2137
2019-10-31,max,139.1179,9.4029
2019-11-30,max,83.5428,13.3973
2019-12-31,max,57.5793,16.6203
2020-01-31,max,106.1853,15.8436
2020-02-29,max,117.6429,4.3228
2020-03-31,max,37.3464,-11.3504
2020-04-30,max,84.1598,2.2903
2020-05-31,max,81.4164,7.6491
2020-06-30,max,61.6672,9.4484
2020-07-31,max,114.1278,16.4043
2020-08-31,max,136.3713,25.1495
2020-09-30,max,193.3194,18.9858
2020-10-31,max,179.687,14.8351
2020-11-30,max,203.4429,28.7815
2020-12-31,max,255.0101,33.4384
2021-01-31,max,312.7296,31.0371
2021-02-28,max,1814.1509,34.3171
2021-03-31,max,2594.4208,41.4766
2021-04-30,max,5338.5613,48.9017
2021-05-31,max,2917.7713,48.9685
2021-06-30,max,2426.4307,51.7075
2021-07-31,max,2619.2451,54.7824
2021-08-31,max,3606.6981,58.7905
2021-09-30,max,2925.2797,49.4496
2021-10-31,max,3915.45,60.1907
2021-11-30,max,4573.1248,57.7666
2021-12-31,max,3665.4193,64.6759
2022-01-31,max,2608.7444,54.002
2022-02-28,max,2702.5648,47.8898
2022-03-31,max,2883.1174,53.271
2022-04-30,max,2480.3372,37.2941
2022-05-31,max,2050.8801,36.965
2022-06-30,max,1346.9399,23.4719
2022-07-31,max,1740.4773,35.9229
2022-08-31,max,1682.7596,28.8875
2022-09-30,max,1685.3627,14.7756
2022-10-31,max,1917.9513,25.1541
2022-11-30,max,1730.9406,32.5146
2022-12-31,max,1376.759,23.2595
2023-01-31,max,1744.704,31.6546
2023-02-28,max,1654.0919,27.309
2023-03-31,max,1717.8623,33.3304
2023-04-30,max,1808.2637,35.1402
2023-05-31,max,1609.8719,35.2714
2023-06-30,max,1220.8664,44.6198
2023-07-31,max,1207.1997,49.2659
2023-08-31,max,1058.7553,45.8035
2023-09-30,max,1034.4837,37.3353
2023-10-31,max,1080.6603,33.3604
2023-11-30,max,1072.2492,46.6707
2023-12-31,max,1488.6151,53.5197
2024-01-31,max,1408.0942,55.5293
2024-02-29,max,1882.5193,63.7894
2024-03-31,max,2872.438,70.0999
2024-04-30,max,2698.2124,61.6769
2024-05-31,max,2735.923,69.9052
2024-06-30,max,2646.2385,77.1132
2024-07-31,max,2588.3819,78.4301
2024-08-31,max,2356.4805,82.1998
2024-09-30,max,2484.6764,86.8475
2024-10-31,max,2494.6589,83.9368
2024-11-30,max,2813.9591,94.8516
2024-12-31,max,2986.6396,88.853
2025-01-31,max,2849.4922,93.4313
2025-02-28,max,2429.9561,89.7438
2025-03-31,max,2477.6663,77.1556
2025-04-30,max,2427.4157,74.7076
2025-05-31,max,2645.9724,85.9721
2025-06-30,max,2611.1162,95.5942
2025-07-31,max,3100.1028,99.4781
2025-08-31,max,3366.7488,102.9676
2025-09-30,max,3933.8302,109.7481
2025-10-31,max,4211.3693,114.0929
2025-11-30,max,3339.6479,113.4807
2025-12-31,max,3250.1036,112.5623
2026-01-31,max,3178.7858,114.8103
2026-02-28,max,2239.7786,111.8541
2026-03-02,max,2255.5164,111.8541
